# PIT top-100 liquidity universe (v6 monthly_pit_universe).
# One row per (symbol, month): from_date <= as_of < to_date; empty to_date = current.
# Regenerate monthly: python scripts/build_daily_universe.py
symbol,name,sector,from_date,to_date
UNIONBANK,UNIONBANK,UNKNOWN,2024-02-01,2024-03-01
DIXON,DIXON,UNKNOWN,2024-02-01,2024-03-01
RPOWER,RPOWER,UNKNOWN,2024-02-01,2024-03-01
CHOLAFIN,CHOLAFIN,UNKNOWN,2024-02-01,2024-03-01
ONGC,ONGC,UNKNOWN,2024-02-01,2024-03-01
WIPRO,WIPRO,UNKNOWN,2024-02-01,2024-03-01
MCX,MCX,UNKNOWN,2024-02-01,2024-03-01
VEDL,VEDL,UNKNOWN,2024-02-01,2024-03-01
GMDCLTD,GMDCLTD,UNKNOWN,2024-02-01,2024-03-01
BAJAJFINSV,BAJAJFINSV,UNKNOWN,2024-02-01,2024-03-01
APOLLOHOSP,APOLLOHOSP,UNKNOWN,2024-02-01,2024-03-01
GAIL,GAIL,UNKNOWN,2024-02-01,2024-03-01
HEROMOTOCO,HEROMOTOCO,UNKNOWN,2024-02-01,2024-03-01
CIPLA,CIPLA,UNKNOWN,2024-02-01,2024-03-01
IOC,IOC,UNKNOWN,2024-02-01,2024-03-01
EICHERMOT,EICHERMOT,UNKNOWN,2024-02-01,2024-03-01
BPCL,BPCL,UNKNOWN,2024-02-01,2024-03-01
ASHOKLEY,ASHOKLEY,UNKNOWN,2024-02-01,2024-03-01
INDIGO,INDIGO,UNKNOWN,2024-02-01,2024-03-01
FEDERALBNK,FEDERALBNK,UNKNOWN,2024-02-01,2024-03-01
AUROPHARMA,AUROPHARMA,UNKNOWN,2024-02-01,2024-03-01
SAIL,SAIL,UNKNOWN,2024-02-01,2024-03-01
LTIM,LTIM,UNKNOWN,2024-02-01,2024-03-01
VBL,VBL,UNKNOWN,2024-02-01,2024-03-01
ANGELONE,ANGELONE,UNKNOWN,2024-02-01,2024-03-01
MAHABANK,MAHABANK,UNKNOWN,2024-02-01,2024-03-01
NBCC,NBCC,UNKNOWN,2024-02-01,2024-03-01
HDFCLIFE,HDFCLIFE,UNKNOWN,2024-02-01,2024-03-01
BANKINDIA,BANKINDIA,UNKNOWN,2024-02-01,2024-03-01
TVSMOTOR,TVSMOTOR,UNKNOWN,2024-02-01,2024-03-01
JSWENERGY,JSWENERGY,UNKNOWN,2024-02-01,2024-03-01
IRCTC,IRCTC,UNKNOWN,2024-02-01,2024-03-01
ADANIGREEN,ADANIGREEN,UNKNOWN,2024-02-01,2024-03-01
NESTLEIND,NESTLEIND,UNKNOWN,2024-02-01,2024-03-01
BRITANNIA,BRITANNIA,UNKNOWN,2024-02-01,2024-03-01
HINDPETRO,HINDPETRO,UNKNOWN,2024-02-01,2024-03-01
HDFCBANK,HDFCBANK,UNKNOWN,2024-03-01,2024-04-01
RELIANCE,RELIANCE,UNKNOWN,2024-03-01,2024-04-01
ICICIBANK,ICICIBANK,UNKNOWN,2024-03-01,2024-04-01
SBIN,SBIN,UNKNOWN,2024-03-01,2024-04-01
AXISBANK,AXISBANK,UNKNOWN,2024-03-01,2024-04-01
INFY,INFY,UNKNOWN,2024-03-01,2024-04-01
BAJFINANCE,BAJFINANCE,UNKNOWN,2024-03-01,2024-04-01
ZOMATO,ZOMATO,UNKNOWN,2024-03-01,2024-04-01
KOTAKBANK,KOTAKBANK,UNKNOWN,2024-03-01,2024-04-01
TATAMOTORS,TATAMOTORS,UNKNOWN,2024-03-01,2024-04-01
TCS,TCS,UNKNOWN,2024-03-01,2024-04-01
IRFC,IRFC,UNKNOWN,2024-03-01,2024-04-01
LT,LT,UNKNOWN,2024-03-01,2024-04-01
YESBANK,YESBANK,UNKNOWN,2024-03-01,2024-04-01
MARUTI,MARUTI,UNKNOWN,2024-03-01,2024-04-01
PNB,PNB,UNKNOWN,2024-03-01,2024-04-01
ADANIENT,ADANIENT,UNKNOWN,2024-03-01,2024-04-01
PFC,PFC,UNKNOWN,2024-03-01,2024-04-01
RECLTD,RECLTD,UNKNOWN,2024-03-01,2024-04-01
BHEL,BHEL,UNKNOWN,2024-03-01,2024-04-01
ITC,ITC,UNKNOWN,2024-03-01,2024-04-01
BHARTIARTL,BHARTIARTL,UNKNOWN,2024-03-01,2024-04-01
JIOFIN,JIOFIN,UNKNOWN,2024-03-01,2024-04-01
TATASTEEL,TATASTEEL,UNKNOWN,2024-03-01,2024-04-01
COALINDIA,COALINDIA,UNKNOWN,2024-03-01,2024-04-01
INDUSINDBK,INDUSINDBK,UNKNOWN,2024-03-01,2024-04-01
NTPC,NTPC,UNKNOWN,2024-03-01,2024-04-01
ADANIPORTS,ADANIPORTS,UNKNOWN,2024-03-01,2024-04-01
M&M,M&M,UNKNOWN,2024-03-01,2024-04-01
BANKBARODA,BANKBARODA,UNKNOWN,2024-03-01,2024-04-01
TATAPOWER,TATAPOWER,UNKNOWN,2024-03-01,2024-04-01
HAL,HAL,UNKNOWN,2024-03-01,2024-04-01
IDEA,IDEA,UNKNOWN,2024-03-01,2024-04-01
HINDUNILVR,HINDUNILVR,UNKNOWN,2024-03-01,2024-04-01
POWERGRID,POWERGRID,UNKNOWN,2024-03-01,2024-04-01
ZEEL,ZEEL,UNKNOWN,2024-03-01,2024-04-01
RVNL,RVNL,UNKNOWN,2024-03-01,2024-04-01
CANBK,CANBK,UNKNOWN,2024-03-01,2024-04-01
HCLTECH,HCLTECH,UNKNOWN,2024-03-01,2024-04-01
SJVN,SJVN,UNKNOWN,2024-03-01,2024-04-01
HINDALCO,HINDALCO,UNKNOWN,2024-03-01,2024-04-01
IRCON,IRCON,UNKNOWN,2024-03-01,2024-04-01
UNIONBANK,UNIONBANK,UNKNOWN,2024-03-01,2024-04-01
BPCL,BPCL,UNKNOWN,2024-03-01,2024-04-01
IBULHSGFIN,IBULHSGFIN,UNKNOWN,2024-03-01,2024-04-01
IOC,IOC,UNKNOWN,2024-03-01,2024-04-01
ASIANPAINT,ASIANPAINT,UNKNOWN,2024-03-01,2024-04-01
ULTRACEMCO,ULTRACEMCO,UNKNOWN,2024-03-01,2024-04-01
TITAN,TITAN,UNKNOWN,2024-03-01,2024-04-01
NMDC,NMDC,UNKNOWN,2024-03-01,2024-04-01
BEL,BEL,UNKNOWN,2024-03-01,2024-04-01
HINDPETRO,HINDPETRO,UNKNOWN,2024-03-01,2024-04-01
IDFCFIRSTB,IDFCFIRSTB,UNKNOWN,2024-03-01,2024-04-01
LIQUIDBEES,LIQUIDBEES,UNKNOWN,2024-03-01,2024-04-01
PAYTM,PAYTM,UNKNOWN,2024-03-01,2024-04-01
GAIL,GAIL,UNKNOWN,2024-03-01,2024-04-01
POLYCAB,POLYCAB,UNKNOWN,2024-03-01,2024-04-01
ONGC,ONGC,UNKNOWN,2024-03-01,2024-04-01
BAJAJ-AUTO,BAJAJ-AUTO,UNKNOWN,2024-03-01,2024-04-01
DLF,DLF,UNKNOWN,2024-03-01,2024-04-01
SAIL,SAIL,UNKNOWN,2024-03-01,2024-04-01
TECHM,TECHM,UNKNOWN,2024-03-01,2024-04-01
WIPRO,WIPRO,UNKNOWN,2024-03-01,2024-04-01
MCX,MCX,UNKNOWN,2024-03-01,2024-04-01
COCHINSHIP,COCHINSHIP,UNKNOWN,2024-03-01,2024-04-01
PERSISTENT,PERSISTENT,UNKNOWN,2024-03-01,2024-04-01
SHRIRAMFIN,SHRIRAMFIN,UNKNOWN,2024-03-01,2024-04-01
IRCTC,IRCTC,UNKNOWN,2024-03-01,2024-04-01
HEROMOTOCO,HEROMOTOCO,UNKNOWN,2024-03-01,2024-04-01
SUNPHARMA,SUNPHARMA,UNKNOWN,2024-03-01,2024-04-01
BANDHANBNK,BANDHANBNK,UNKNOWN,2024-03-01,2024-04-01
RBLBANK,RBLBANK,UNKNOWN,2024-03-01,2024-04-01
BANKINDIA,BANKINDIA,UNKNOWN,2024-03-01,2024-04-01
BSE,BSE,UNKNOWN,2024-03-01,2024-04-01
MAZDOCK,MAZDOCK,UNKNOWN,2024-03-01,2024-04-01
INDUSTOWER,INDUSTOWER,UNKNOWN,2024-03-01,2024-04-01
